site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,tpc_uM,tpn_uM,tpp_uM,tss_mgperLiter,spec_cond_uSpercm
CP01,2001-02-13T12:30:00,0,88.1,5.6,126.1,5.9,430.6,37.5,5,-999,309
CP01,2001-02-13T20:40:00,0,82.6,3.7,130.2,4.7,231.4,19.4,2.4,-999,330
CP01,2001-02-14T00:10:00,0,84.2,3.7,117.4,3.7,196.2,18.8,2.2,-999,351
CP01,2001-02-14T08:00:00,0,78.3,3.3,107.5,4.2,106.2,9.3,1.3,-999,411
FK00,2001-02-13T11:20:00,1.9,259.3,12.5,348,12.7,1656.5,145.4,19.3,1168,-999
FK00,2001-02-13T12:40:00,3.2,289.7,12.5,372.3,10.3,719.2,56.4,5.1,-999,-999
FK00,2001-02-13T20:50:00,1.5,535.6,12,635.7,11.3,371.8,30.4,2.4,-999,-999
FK00,2001-02-14T00:20:00,1.3,650.6,13.2,754.4,12.4,338,30,10.6,-999,-999
FK00,2001-02-14T08:15:00,4,945.6,6.6,1050.8,7.6,-999,-999,-999,-999,-999
SM01,2001-02-13T11:30:00,0,56.8,2.6,96.3,3.3,428.9,36.6,3.5,-999,-999
SM01,2001-02-13T12:55:00,0,49.7,2.4,85.7,3.1,331.8,27.8,2.8,-999,-999
SM01,2001-02-13T21:00:00,0,43.7,1.9,78.2,2.8,383.1,30.4,3.8,-999,-999
SM01,2001-02-14T00:30:00,0,46.4,1.7,78.4,3,247.2,14.5,1.3,-999,-999
SM01,2001-02-14T08:30:00,0.1,43.6,1.8,112,6.8,-999,-999,-999,-999,-999
HO01,2001-02-17T18:30:00,1,26.9,0.9,56.5,7.1,-999,-999,-999,-999,615
GV00,2001-02-17T20:00:00,1.4,14.2,3.2,38.6,3,151.8,13.7,24,-999,1407
EL00,2001-02-17T20:55:00,0,1.9,0.9,8.1,1.4,-999,-999,-999,-999,674
ME00,2001-02-18T11:40:00,0.6,10.4,1.5,17.6,2.8,-999,-999,-999,-999,-999
HO01,2001-02-18T13:55:00,0,19.5,1,30.9,1.7,-999,-999,-999,-999,-999
ON00,2001-02-18T15:25:00,0,15.1,1.1,21.3,1.6,-999,-999,-999,-999,-999
SY00,2001-02-18T11:15:00,0,76.1,3.9,110.6,3.9,232.8,14.6,1.9,-999,-999
GV00,2001-02-18T14:50:00,2.1,13.8,3.6,30.3,2.4,134.6,16.4,28.2,-999,1413
MY02,2001-02-18T12:15:00,0,22.8,1.5,34.3,1.5,-999,-999,-999,-999,724
AT03,2001-02-18T12:15:00,0,93.9,7.6,137.8,7.7,-999,-999,-999,-999,1842
AT02,2001-02-18T12:45:00,0,47.5,3.3,68.1,5.2,83.5,9.8,0.5,-999,1037
AT02,2001-02-19T12:45:00,5.3,51.6,7.8,75.2,6.5,1359.7,107.8,14.5,-999,294
LS00,2001-02-19T15:10:00,32.2,154.2,3.4,216.1,3.3,1864.2,219.3,107.2,-999,-999
RN02,2001-02-19T17:10:00,2.1,132.1,1.7,161,2.1,8577.9,1287.5,1022.9,-999,-999
ME00,2001-02-19T17:45:00,0.2,18.8,5.3,36,4.1,143.2,9.6,0.8,-999,-999
SY01,2001-02-19T14:40:00,0,39.2,6.4,61.1,6.8,-999,-999,-999,-999,-999
JV00,2001-02-19T15:25:00,17.8,111.4,2,193.8,2.5,50894,6016.3,2641.3,-999,-999
SC01,2001-02-19T16:00:00,4.8,101.4,3.1,115.2,3.3,1274.6,89.2,22.3,20700,749
VR01,2001-02-19T16:40:00,12.4,101.1,2.4,132.8,2.7,3712.7,303.2,71,-999,1030
AT02,2001-02-19T19:10:00,1.4,39.6,6.9,73.7,7.1,950.7,49.9,6,-999,-999
RN01,2001-02-17T09:30:00,2.8,100.4,1.6,113.5,3.9,-999,-999,-999,-999,-999
CP01,2001-02-17T10:50:00,0.2,46.4,1.1,60.2,4.2,-999,-999,-999,-999,745
FK00,2001-02-17T11:15:00,41.3,1885.4,42.6,2577.3,40.9,-999,-999,-999,-999,-999
SM01,2001-02-17T11:40:00,0.6,233.8,27.6,311.1,8.6,-999,-999,-999,-999,-999
SM01,2001-02-19T09:10:00,2.9,338.5,37.1,418.4,9,-999,-999,-999,-999,-999
SM01,2001-02-19T16:15:00,0.3,146.9,17.5,178.7,8.4,140,13.1,0.8,-999,-999
SM01,2001-02-19T20:40:00,0,43.1,5,56.5,6,-999,-999,-999,-999,-999
CP01,2001-02-19T08:55:00,0,56.6,1.3,80.7,4.1,-999,-999,-999,-999,699
CP01,2001-02-19T15:45:00,0.2,45.7,3.7,60.9,5,115.3,13.1,1,-999,524
CP01,2001-02-19T20:15:00,0,23.6,1.4,36.8,4.1,-999,-999,-999,-999,619
FK00,2001-02-19T09:00:00,12.2,587.4,21.4,753,23.1,-999,-999,-999,-999,-999
FK00,2001-02-19T16:05:00,6,1059.4,47,1506.3,11,764.5,78.5,4,-999,-999
FK00,2001-02-19T20:25:00,2.5,1408.4,16.3,1752.1,5.8,-999,-999,-999,-999,-999
RN01,2001-02-19T08:40:00,4.4,96.9,1.7,117.4,4.1,8507.7,1203.9,1016.8,-999,-999
RN01,2001-02-19T15:30:00,1.8,142.1,1.9,88.5,3.9,2630.3,330,196.3,-999,-999
RN01,2001-02-19T20:00:00,1.3,74,2,165.9,3.5,-999,-999,-999,-999,-999
EL00,2001-02-19T00:00:00,0,11.3,1.6,-999,-999,135.1,12.3,1.9,-999,-999
GV00,2001-02-19T00:00:00,1.9,16.7,10.3,-999,-999,4473.4,378.1,654.4,-999,-999
HO01,2001-02-19T00:00:00,0,21.8,0.8,-999,-999,103.8,7.8,0.5,-999,-999
ON00,2001-02-19T00:00:00,0,54.3,1.5,-999,-999,231.6,21.8,2,-999,-999
SR04,2001-02-23T08:40:00,0.1,8.2,0.5,12.6,2.1,41.2,4.8,0.1,-999,860
EL00,2001-02-24T12:25:00,0.1,4.8,3.4,17.5,3.4,223.4,22.8,5.1,-999,-999
AT03,2001-02-24T09:30:00,0,42,2.9,61.6,4.4,69.9,11,0.3,-999,-999
ON00,2001-02-24T11:55:00,0.1,17.9,1,32.1,2.3,95.2,12.3,0.6,-999,-999
GV00,2001-02-24T11:35:00,2.2,14.5,3.1,35.5,3.2,905.1,70.9,221.9,-999,1227
HO01,2001-02-24T11:00:00,0.2,22.5,1.1,32.3,2.3,-999,-999,-999,-999,587
AT03,2001-02-24T13:50:00,2,50.1,11.3,78.8,5.7,899.2,62.9,10.2,-999,-999
